City_ID,City,Country,Max Temp,Lat,lng,Hotel Name
161,mahajanga,MG,71.6,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
164,victoria,HK,86.0,22.29,114.16,Mini Hotel Central
166,oussouye,SN,84.2,12.48,-16.55,Auberge du Routard
167,bambanglipuro,ID,73.53,-7.95,110.28,Puri Brata
174,schladming,AT,60.8,47.39,13.69,Hotel Die Barbara
176,reconquista,AR,61.3,-29.15,-59.65,Grand Hotel
177,ust-nera,RU,78.33,64.57,143.2,Hotel Ust-Nera
178,thinadhoo,MV,83.46,0.53,72.93,
179,hithadhoo,MV,83.28,-0.6,73.08,Scoop Guest House
180,maragogi,BR,75.2,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
181,sapernoye,RU,69.01,60.72,29.95,База отдыха «Юность»
183,manokwari,ID,83.71,-0.87,134.08,Swiss Belhotel Manokwari
184,thanh hoa,VN,83.12,19.8,105.77,KHÁCH SẠN NGỌC LY 8
186,mahebourg,MU,71.6,-20.41,57.7,Shandrani Beachcomber Resort & Spa
191,beloha,MG,62.28,-25.17,45.05,
193,namatanai,PG,84.52,-3.67,152.43,Namatanai Hotel
196,riviere-au-renard,CA,84.2,49.0,-64.4,Auberge Le Caribou
197,poum,NC,71.94,-20.23,164.02,Gîte kajeon
198,buala,SB,84.56,-8.14,159.59,Maringe Lagoon Lodge
200,cidreira,BR,68.38,-30.18,-50.21,Novomar Pousada e Turismo Ltda
202,tiksi,RU,65.93,71.69,128.87,Arktika
205,saint-pierre,RE,66.2,-21.34,55.48,Lindsey Hôtel
208,kavieng,PG,85.35,-2.57,150.8,Nusa Island Retreat
210,dingle,PH,80.98,11.0,122.67,Camp Pasica
213,iranduba,BR,86.0,-3.28,-60.19,Evolução Ecolodge
215,sabha,LY,82.6,27.04,14.43,محطة ام الارانب -سبها مواصلات
216,deputatskiy,RU,74.48,69.3,139.9,Baza Otdykha
217,camana,PE,62.31,-16.62,-72.71,Hostal Morales
218,ibra,OM,79.0,22.69,58.53,مزرعة راحة النفوس المنزفة
220,batagay-alyta,RU,78.94,67.8,130.41,
222,ixtapa,MX,86.0,20.7,-105.2,Container Inn Puerto Vallarta
224,slavonski brod,HR,60.01,45.16,18.02,Hotel Garten
225,goderich,CA,69.01,43.75,-81.72,Harmony Inn
226,karratha,AU,66.42,-20.74,116.85,ibis Styles Karratha
228,rosa zarate,EC,75.38,0.33,-79.47,Piscinas y Recepciones Hecalash
229,samarinda,ID,73.74,-0.5,117.15,Aston Samarinda Hotel & Convention Center
230,broome,US,71.6,42.25,-75.83,Chenango Valley State Park
231,maslovka,RU,60.8,51.55,39.24,
232,porto novo,BJ,80.6,6.5,2.6,Tour Eiffel Hotel Benin
235,humaita,BR,80.08,-7.51,-63.02,Corrêa Hotel
236,bulungu,CD,73.81,-4.55,18.6,
237,canton,CN,89.01,23.12,113.25,Guangzhou Hotel
238,oneonta,US,71.01,42.45,-75.06,Hampton Inn Oneonta
239,heinola,FI,66.2,61.21,26.04,Hotelli Valo
240,kutum,SD,74.34,14.2,24.67,Dibbo areaمنطقة دبو
243,nieuw amsterdam,SR,80.6,5.88,-55.08,Hotel Stardust
245,barcelona,ES,75.99,41.39,2.16,Axel Hotel Barcelona
247,praia,CV,77.0,14.92,-23.51,LT Aparthotel
249,dwarka,IN,85.68,22.24,68.97,Hotel Narayan Avezika Comfort
250,neiafu,TO,78.8,-18.65,-173.98,Mystic Sands
252,pierre,US,89.01,44.37,-100.35,Ramkota Hotel
253,fairbanks,US,60.01,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
254,bethel,US,84.0,41.37,-73.41,Courtyard by Marriott Danbury
256,baykit,RU,64.87,61.67,96.37,Gostinitsa
258,komsomolskiy,UZ,69.58,40.43,71.72,Ikathouse
260,lieksa,FI,61.57,63.32,30.02,Kaatrahovi
262,talaya,RU,72.82,61.38,152.75,
264,morondava,MG,73.36,-20.28,44.28,La Case Bambou
265,banda aceh,ID,79.39,5.56,95.32,OYO 884 Rumoh PMI Hotel
267,saint-joseph,RE,66.2,-21.37,55.62,"""Plantation Bed and Breakfast"
269,vila franca do campo,PT,62.6,37.72,-25.43,Pestana Bahia Praia
270,dicabisagan,PH,82.24,17.08,122.42,
271,lagunas,PE,79.95,-5.23,-75.68,Hospedaje Eco
272,kuhdasht,IR,70.92,33.53,47.61,برج امید1
273,artigas,UY,70.0,-30.4,-56.47,Hotel Casino San Eugenio del Cuareim
274,port keats,AU,67.17,-14.25,129.55,TDC Village (Hundred Man Camp)
275,la palma,US,81.0,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
276,port blair,IN,81.99,11.67,92.75,Hotel Sentinel
277,agadez,NE,84.51,19.75,10.25,
280,ahuimanu,US,84.2,21.44,-157.84,Paradise Bay Resort
283,lata,PT,64.99,40.16,-8.33,Casa Maquia
287,sola,VU,86.0,-13.88,167.55,Leumerus Bungalows
288,inhambane,MZ,66.49,-23.86,35.38,Oceano
289,sibolga,ID,77.23,1.74,98.78,Hotel Syariah CN Darussalam
291,caravelas,BR,71.08,-17.71,-39.25,Pousada dos Navegantes
292,trapani,IT,79.0,37.83,12.67,
293,nizwa,OM,83.17,22.93,57.53,Orient Apartments
294,nantucket,US,71.01,41.28,-70.1,Jared Coffin House
295,kunming,CN,66.0,25.04,102.72,昆明佳华广场酒店
296,teguise,ES,71.6,29.06,-13.56,B&B La Casona de Nazaret
297,baft,IR,71.53,29.23,56.61,بافت خیابان طالقانی غربی ساختمان مادر
300,moche,PE,64.13,-8.17,-79.01,Wyndham Costa del Sol Trujillo
303,tukrah,LY,70.21,32.53,20.58,استراحة لاقروتا
304,havre-saint-pierre,CA,77.0,50.23,-63.6,Auberge Niapiskau
305,annau,TM,80.6,37.89,58.52,Buzmein Sokak
306,guerrero negro,MX,72.66,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
308,sao joao da barra,BR,71.19,-21.64,-41.05,Pousada Porto De Canoas
309,belaya gora,RU,80.49,68.53,146.42,
310,marienburg,PL,64.0,54.04,19.03,Hotel Centrum Malbork
314,tilichiki,RU,61.97,60.47,166.1,
315,aviemore,GB,62.6,57.2,-3.83,Cairngorm Hotel
317,sompeta,IN,82.02,18.93,84.6,V.B.R A/C Lodge And Function Hall
318,umm kaddadah,SD,86.81,13.6,26.69,
319,san cristobal,VE,86.0,7.77,-72.22,Pirineos
321,cascais,PT,64.99,38.7,-9.42,Hotel Vila Galé Cascais
