City_ID,City,Cloudiness,Country,Current Description,Humidity,Lat,Max Temp,Rain (inches),Snow (inches),Wind Speed,lng
140,flinders,0,AU,clear sky,74,-34.58,55.99,0.0,0.0,7.0,150.86
141,saint-philippe,39,RE,scattered clouds,77,-21.36,66.2,0.0,0.0,5.82,55.77
142,constitucion,94,CL,light rain,80,-35.33,49.75,0.54,0.54,8.05,-72.42
143,half moon bay,5,US,clear sky,53,37.46,79.0,0.0,0.0,11.41,-122.43
144,shache,100,CN,overcast clouds,18,38.42,77.81,0.0,0.0,12.93,77.24
145,butaritari,87,KI,overcast clouds,77,3.07,83.73,0.0,0.0,12.73,172.79
146,novyy urgal,100,RU,light rain,96,51.07,52.54,0.75,0.75,4.0,132.56
147,fort nelson,75,CA,broken clouds,27,58.81,73.4,0.0,0.0,10.29,-122.7
148,tezu,100,IN,moderate rain,87,27.92,75.25,3.49,3.49,2.37,96.17
149,ilinskiy,0,RU,clear sky,47,55.62,59.0,0.0,0.0,4.47,38.12
150,spirit river,40,CA,scattered clouds,33,55.78,73.4,0.0,0.0,11.41,-118.84
151,pathein,98,MM,overcast clouds,90,16.78,79.84,0.0,0.0,1.68,94.73
152,maarianhamina,0,AX,clear sky,100,60.1,55.4,0.0,0.0,1.12,19.93
153,olafsvik,11,IS,few clouds,83,64.89,50.05,0.0,0.0,7.78,-23.71
154,gayny,50,RU,scattered clouds,95,60.31,37.51,0.0,0.0,6.22,54.32
155,naze,75,JP,broken clouds,94,28.37,80.6,0.0,0.0,12.75,129.48
156,saldanha,0,ZA,clear sky,87,-33.01,53.6,0.0,0.0,4.7,17.94
157,gravdal,100,NO,light rain,86,68.12,55.04,0.5,0.5,13.33,13.5
158,sao filipe,26,CV,scattered clouds,83,14.9,75.94,0.0,0.0,5.73,-24.5
159,beringovskiy,99,RU,overcast clouds,91,63.05,41.34,0.0,0.0,9.4,179.32
160,naushki,0,RU,clear sky,63,50.38,62.44,0.0,0.0,2.46,106.11
161,mahajanga,4,MG,clear sky,94,-15.72,71.6,0.0,0.0,2.24,46.32
162,santa maria,100,BR,light rain,83,-29.68,68.02,0.28,0.28,4.97,-53.81
163,bac lieu,100,VN,light rain,82,9.29,81.48,0.28,0.28,7.31,105.72
164,victoria,100,HK,overcast clouds,70,22.29,86.0,0.0,0.0,11.01,114.16
165,ancud,75,CL,broken clouds,93,-41.87,43.0,0.0,0.0,2.24,-73.82
166,oussouye,20,SN,few clouds,83,12.48,84.2,0.0,0.0,4.7,-16.55
167,bambanglipuro,98,ID,overcast clouds,89,-7.95,73.53,0.0,0.0,5.86,110.28
168,burnie,97,AU,light rain,93,-41.07,54.0,0.45,0.45,7.0,145.92
169,hwange,0,ZW,clear sky,66,-18.37,52.83,0.0,0.0,3.31,26.5
170,laela,65,TZ,broken clouds,69,-8.57,57.16,0.0,0.0,3.31,32.05
171,ozernovskiy,7,RU,clear sky,82,51.5,51.28,0.0,0.0,7.31,156.52
172,arman,67,RU,broken clouds,72,59.7,56.5,0.0,0.0,5.88,150.17
173,lyuban,82,BY,broken clouds,85,52.8,59.9,0.0,0.0,5.55,28.0
174,schladming,75,AT,broken clouds,77,47.39,60.8,0.0,0.0,4.7,13.69
175,canberra,91,AU,overcast clouds,95,-35.28,46.0,0.0,0.0,2.71,149.13
176,reconquista,100,AR,overcast clouds,86,-29.15,61.3,0.0,0.0,14.65,-59.65
177,ust-nera,56,RU,broken clouds,28,64.57,78.33,0.0,0.0,0.49,143.2
178,thinadhoo,88,MV,overcast clouds,80,0.53,83.46,0.0,0.0,13.09,72.93
179,hithadhoo,78,MV,broken clouds,77,-0.6,83.28,0.0,0.0,11.16,73.08
180,maragogi,2,BR,clear sky,81,-9.01,75.2,0.0,0.0,7.94,-35.22
181,sapernoye,85,RU,overcast clouds,53,60.72,69.01,0.0,0.0,6.2,29.95
182,alice springs,1,AU,clear sky,69,-23.7,33.8,0.0,0.0,5.82,133.88
183,manokwari,13,ID,few clouds,66,-0.87,83.71,0.0,0.0,5.21,134.08
184,thanh hoa,100,VN,overcast clouds,74,19.8,83.12,0.0,0.0,4.29,105.77
185,husavik,40,IS,scattered clouds,71,66.04,55.4,0.0,0.0,20.8,-17.34
186,mahebourg,40,MU,shower rain,83,-20.41,71.6,0.0,0.0,9.17,57.7
187,qaanaaq,81,GL,broken clouds,72,77.48,39.6,0.0,0.0,7.81,-69.36
188,skowhegan,75,US,light rain,95,44.77,72.0,0.96,0.96,6.49,-69.72
189,airai,53,TL,broken clouds,100,-8.93,59.85,0.0,0.0,4.03,125.41
190,jumla,81,NP,light rain,70,29.27,61.79,0.3,0.3,0.38,82.18
191,beloha,1,MG,clear sky,94,-25.17,62.28,0.0,0.0,8.59,45.05
192,tuatapere,99,NZ,overcast clouds,82,-46.13,45.93,0.0,0.0,4.99,167.68
193,namatanai,55,PG,broken clouds,67,-3.67,84.52,0.0,0.0,7.14,152.43
194,lar,99,IN,moderate rain,67,26.2,87.96,2.39,2.39,5.32,83.97
195,emerald,0,AU,clear sky,62,-23.53,54.0,0.0,0.0,10.29,148.17
196,riviere-au-renard,40,CA,scattered clouds,54,49.0,84.2,0.0,0.0,11.41,-64.4
197,poum,8,NC,clear sky,64,-20.23,71.94,0.0,0.0,11.59,164.02
