City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
69,Atasu,48.68,71.64,78.76,19,50,5.01,KZ,2020-06-23 03:04:33
70,Thompson,55.74,-97.86,64.4,72,20,4.7,CA,2020-06-23 03:04:33
71,Pangnirtung,66.15,-65.71,46.36,67,92,1.1,CA,2020-06-23 03:04:33
72,Ambilobe,-13.2,49.05,66.51,81,40,4.07,MG,2020-06-23 03:04:34
73,Butaritari,3.07,172.79,82.9,74,46,15.19,KI,2020-06-23 03:04:34
74,Rehoboth,-23.32,17.08,44.04,57,0,4.03,NA,2020-06-23 03:04:34
75,Kapaa,22.08,-159.32,82.4,65,40,10.29,US,2020-06-23 03:04:34
76,Malindi,-3.22,40.12,76.82,88,63,14.85,KE,2020-06-23 03:04:35
77,Coquimbo,-29.95,-71.34,53.6,93,100,2.24,CL,2020-06-23 03:04:35
78,Petropavlovsk-Kamchatskiy,53.05,158.65,78.8,36,40,13.42,RU,2020-06-23 03:04:35
79,Mount Gambier,-37.83,140.77,57.2,93,75,13.87,AU,2020-06-23 03:04:35
80,Arraial Do Cabo,-22.97,-42.03,72.81,81,0,9.04,BR,2020-06-23 03:04:35
81,Mezhevoy,55.17,58.78,49.53,72,5,4.05,RU,2020-06-23 03:04:35
82,Kysyl-Syr,63.9,122.76,78.35,37,37,8.84,RU,2020-06-23 03:04:36
83,Garissa,-0.45,39.64,75.74,76,95,16.49,KE,2020-06-23 03:04:36
84,Tasiilaq,65.61,-37.64,48.2,84,0,13.87,GL,2020-06-23 03:03:05
85,San Patricio,19.22,-104.7,81.97,74,62,2.48,MX,2020-06-23 03:04:36
86,Puerto Ayora,-0.74,-90.35,69.01,91,24,7.49,EC,2020-06-23 03:04:36
87,Kasempa,-13.46,25.83,48.29,64,0,5.97,ZM,2020-06-23 03:04:36
88,Ulladulla,-35.35,150.47,59.0,44,40,14.99,AU,2020-06-23 03:04:37
89,Chuy,-33.7,-53.46,60.01,96,100,8.63,UY,2020-06-23 03:04:37
90,Margate,51.38,1.39,60.01,81,0,1.99,GB,2020-06-23 03:04:37
91,Beloha,-25.17,45.05,61.86,97,35,6.62,MG,2020-06-23 03:04:37
92,Touros,-5.2,-35.46,71.6,94,17,4.7,BR,2020-06-23 03:02:31
93,Bluff,-46.6,168.33,48.11,79,100,4.72,NZ,2020-06-23 03:04:38
94,Chokurdakh,70.63,147.92,67.51,31,79,8.37,RU,2020-06-23 03:04:38
95,Cidreira,-30.18,-50.21,64.26,92,7,16.44,BR,2020-06-23 03:04:38
